english,telugu
You are looking cute today.,నువ్వు ఈ రోజు చాలా క్యూట్‌గా కనిపిస్తున్నావు.
That smile is dangerous.,ఆ నవ్వు చాలా ప్రమాదకరంగా ఉంది.
Stop being so charming.,ఇంత ఆకర్షణీయంగా ఉండటం ఆపు.
Are you always this cute?,నువ్వు ఎప్పుడూ ఇంత క్యూట్‌గా ఉంటావా?
I think you just stole my attention.,నువ్వు ఇప్పుడే నా దృష్టిని దొంగిలించావనుకుంటా.
"If smiles were stars, yours would light the sky.","నవ్వులు నక్షత్రాలైతే, నీ నవ్వు ఆకాశాన్ని వెలిగించేది."
I enjoy teasing you.,నిన్ను ఆటపట్టించడం నాకు సరదాగా ఉంటుంది.
You make flirting feel effortless.,నీతో సరదాగా ప్రేమగా మాట్లాడటం చాలా సులభంగా అనిపిస్తుంది.
I think you owe me a smile.,నువ్వు నాకు ఒక నవ్వు ఇవ్వాలి అనుకుంటున్నాను.
Can I borrow a little of your time?,నీ సమయం కొంచెం నాకు ఇస్తావా?
I have a tiny crush on you.,నాకు నీపై కొంచెం క్రష్ ఉంది.
You are making it hard for me to look away.,నీ వైపు చూడకుండా ఉండటం నాకు కష్టంగా ఉంది.
Your voice is lovely.,నీ స్వరం చాలా మధురంగా ఉంది.
I could listen to you all evening.,నేను సాయంత్రం అంతా నీ మాటలు వింటూ ఉండగలను.
You have a beautiful heart.,నీ మనసు చాలా అందంగా ఉంది.
You deserve all the happiness in the world.,ప్రపంచంలోని అన్ని ఆనందాలకు నువ్వు అర్హుడివి.
I am lucky to know you.,నిన్ను తెలుసుకోవడం నా అదృష్టం.
You make my day better.,నువ్వు నా రోజును మరింత ఆనందంగా చేస్తావు.
I was smiling because of you.,నీ వల్లనే నేను నవ్వుతున్నాను.
You are the nicest surprise in my day.,నా రోజులో వచ్చిన అందమైన ఆశ్చర్యం నువ్వే.
Let's watch the sunset together.,మనిద్దరం కలిసి సూర్యాస్తమయాన్ని చూద్దాం.
I would choose your company any day.,ఏ రోజైనా నీ సాంగత్యాన్నే నేను ఎంచుకుంటాను.
You make my heart feel light.,నువ్వు నా మనసును తేలికగా అనిపించేలా చేస్తావు.
I hope you have a beautiful day.,నీకు అందమైన రోజు కావాలని కోరుకుంటున్నాను.
I am proud of you.,నిన్ను చూసి నేను గర్వపడుతున్నాను.
Believe in yourself.,నీపై నువ్వు నమ్మకం ఉంచుకో.
Never give up.,ఎప్పుడూ వదులుకోకు.
You can do it.,నువ్వు చేయగలవు.
Everything will be fine.,అన్నీ బాగానే జరుగుతాయి.
What are you doing?,నువ్వు ఏమి చేస్తున్నావు?
I am studying now.,నేను ఇప్పుడు చదువుకుంటున్నాను.
I am going home.,నేను ఇంటికి వెళ్తున్నాను.
I am feeling sleepy.,నాకు నిద్రగా ఉంది.
I am hungry.,నాకు ఆకలిగా ఉంది.
I am thirsty.,నాకు దాహంగా ఉంది.
Where are you going?,నువ్వు ఎక్కడికి వెళ్తున్నావు?
What time is it?,ఇప్పుడు సమయం ఎంత?
What happened?,ఏం జరిగింది?
Are you okay?,నువ్వు బాగున్నావా?
"Yes, I am okay.","అవును, నేను బాగున్నాను."
Please tell me the truth.,దయచేసి నాకు నిజం చెప్పు.
I understand you.,నేను నిన్ను అర్థం చేసుకుంటున్నాను.
I trust you.,నేను నిన్ను నమ్ముతున్నాను.
Let's stay positive.,మనము సానుకూలంగా ఉండుదాం.
Today is a new beginning.,ఈ రోజు ఒక కొత్త ప్రారంభం.
Every day is a new opportunity.,ప్రతి రోజు ఒక కొత్త అవకాశం.
Dream big.,పెద్దగా కలలు కను.
Keep smiling.,ఎప్పుడూ నవ్వుతూ ఉండు.
Be kind to everyone.,అందరితో దయగా ఉండు.
I enjoy talking with you.,నీతో మాట్లాడటం నాకు ఇష్టం.
Let's have some fun.,కొంచెం సరదాగా గడుపుదాం.
You always make me laugh.,నువ్వు ఎప్పుడూ నన్ను నవ్విస్తావు.
I was thinking about you.,నేను నీ గురించి ఆలోచిస్తున్నాను.
I hope to see you soon.,త్వరలో నిన్ను చూడాలని ఆశిస్తున్నాను.
Send me a message when you are free.,నువ్వు ఖాళీగా ఉన్నప్పుడు నాకు మెసేజ్ పంపు.
Let's meet this weekend.,ఈ వారాంతంలో కలుద్దాం.
Would you like some tea?,నీకు కొంచెం టీ కావాలా?
Would you like some coffee?,నీకు కొంచెం కాఫీ కావాలా?
I cooked dinner.,నేను రాత్రి భోజనం వండాను.
The food is delicious.,ఆహారం చాలా రుచిగా ఉంది.
I like this place.,నాకు ఈ ప్రదేశం ఇష్టం.
This song is beautiful.,ఈ పాట చాలా అందంగా ఉంది.
This movie is interesting.,ఈ సినిమా ఆసక్తికరంగా ఉంది.
The flowers are beautiful.,పూలు చాలా అందంగా ఉన్నాయి.
The sky looks amazing.,ఆకాశం అద్భుతంగా కనిపిస్తోంది.
The moon is bright tonight.,ఈ రాత్రి చంద్రుడు ప్రకాశంగా ఉన్నాడు.
I am ready.,నేను సిద్ధంగా ఉన్నాను.
I am busy.,నేను బిజీగా ఉన్నాను.
I am tired.,నేను అలసిపోయాను.
I am excited.,నేను ఉత్సాహంగా ఉన్నాను.
I am calm.,నేను ప్రశాంతంగా ఉన్నాను.
I am learning something new.,నేను కొత్త విషయం నేర్చుకుంటున్నాను.
I need some time.,నాకు కొంత సమయం కావాలి.
I need your help.,నాకు నీ సహాయం కావాలి.
I remember you.,నాకు నువ్వు గుర్తున్నావు.
I believe you.,నేను నిన్ను నమ్ముతున్నాను.
I am at home.,నేను ఇంట్లో ఉన్నాను.
I am at school.,నేను పాఠశాలలో ఉన్నాను.
I am at the park.,నేను పార్కులో ఉన్నాను.
I am in the city.,నేను నగరంలో ఉన్నాను.
I am in the library.,నేను గ్రంథాలయంలో ఉన్నాను.
Do you like music?,నీకు సంగీతం ఇష్టమా?
Do you like movies?,నీకు సినిమాలు ఇష్టమా?
Do you like books?,నీకు పుస్తకాలు ఇష్టమా?
Do you like tea?,నీకు టీ ఇష్టమా?
Do you like coffee?,నీకు కాఫీ ఇష్టమా?
Do you like traveling?,నీకు ప్రయాణాలు ఇష్టమా?
Do you like the rain?,నీకు వర్షం ఇష్టమా?
Do you like sunsets?,నీకు సూర్యాస్తమయాలు ఇష్టమా?
I like your smile.,నాకు నీ నవ్వు ఇష్టం.
I like your voice.,నాకు నీ స్వరం ఇష్టం.
I like your kindness.,నాకు నీ దయ ఇష్టం.
I like your sense of humor.,నాకు నీ హాస్య భావన ఇష్టం.
You are very kind.,నువ్వు చాలా దయగలవాడివి.
You are very funny.,నువ్వు చాలా సరదాగా ఉంటావు.
You are very talented.,నువ్వు చాలా ప్రతిభావంతుడివి.
You are wonderful.,నువ్వు అద్భుతంగా ఉన్నావు.
